Respondent,Country,Employment,DevType,YearsCoding,JobSearchStatus,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,LanguageWorkedWith,Gender,Age
7,South Africa,Employed full-time,Data or business analyst;Desktop or enterprise applications developer;Game or graphics developer;QA or test developer;Student,6-8 years,"I’m not actively looking, but I am open to new opportunities",South African rands (R),260000,Yearly,21426,ZAR,C;C++;Java;Matlab;R;SQL;Bash/Shell,Male,18 - 24 years old
9,United States,Employed full-time,Back-end developer;Front-end developer;Full-stack developer,9-11 years,"I’m not actively looking, but I am open to new opportunities",U.S. dollars ($),120000,Yearly,120000,USD,JavaScript;HTML;CSS,Male,18 - 24 years old
11,United States,Employed full-time,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Database administrator;DevOps specialist;Engineering manager;Full-stack developer;System administrator",30 or more years,"I’m not actively looking, but I am open to new opportunities",U.S. dollars ($),250000,Yearly,250000,USD,Assembly;CoffeeScript;Erlang;Go;JavaScript;Lua;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old
21,Netherlands,Employed full-time,Back-end developer;Front-end developer;Student,0-2 years,"I’m not actively looking, but I am open to new opportunities",Euros (€),0,Monthly,0,EUR,Java;JavaScript;PHP;VB.NET;HTML;CSS,Male,18 - 24 years old
27,Sweden,Employed full-time,Back-end developer,6-8 years,"I’m not actively looking, but I am open to new opportunities",Swedish kroner (SEK),32000,Monthly,47904,SEK,C#;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old
33,Australia,Employed full-time,Database administrator;Full-stack developer;Mobile developer,15-17 years,"I’m not actively looking, but I am open to new opportunities",Australian dollars (A$),120000,Yearly,95968,AUD,C;C++;Go;Python;SQL;Swift,Male,35 - 44 years old
37,United Kingdom,Employed full-time,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,9-11 years,I am not interested in new job opportunities,British pounds sterling (£),25,Monthly,420,GBP,C#;JavaScript;PHP;SQL;HTML;CSS,Male,25 - 34 years old
41,Greece,Employed full-time,Full-stack developer,9-11 years,"I’m not actively looking, but I am open to new opportunities",Euros (€),3500,Monthly,51408,EUR,Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,Male,35 - 44 years old
43,Sweden,Employed full-time,Front-end developer;Full-stack developer,12-14 years,"I’m not actively looking, but I am open to new opportunities",Swedish kroner (SEK),582000,Yearly,72611,SEK,C#;Java;JavaScript;PHP;SQL;HTML;CSS,Male,25 - 34 years old
44,United States,Employed full-time,Back-end developer;Full-stack developer,3-5 years,I am not interested in new job opportunities,U.S. dollars ($),75000,Monthly,9.00E+05,USD,C#;JavaScript;SQL;HTML;CSS,Male,25 - 34 years old
47,Poland,Employed full-time,Back-end developer;Engineering manager,3-5 years,"I’m not actively looking, but I am open to new opportunities",Polish złoty (zł),8500,Monthly,30000,PLN,Python;SQL;HTML;Bash/Shell,Male,25 - 34 years old
51,United States,Employed full-time,Back-end developer;Designer;Front-end developer;Full-stack developer;Marketing or sales professional;Mobile developer,6-8 years,I am not interested in new job opportunities,U.S. dollars ($),44000,Yearly,44000,USD,Java;JavaScript;Objective-C;PHP;SQL;Swift;HTML;CSS;Bash/Shell,Female,18 - 24 years old
52,United States,Employed full-time,Full-stack developer,3-5 years,I am actively looking for a job,U.S. dollars ($),60000,Yearly,60000,USD,JavaScript;PHP;HTML;CSS,Female,25 - 34 years old
54,United States,Employed full-time,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,12-14 years,I am not interested in new job opportunities,U.S. dollars ($),80000,Yearly,80000,USD,C;C++;Java;JavaScript;PHP;Python;Ruby;SQL;Bash/Shell,Male,25 - 34 years old
61,India,Employed full-time,Designer;Front-end developer,0-2 years,"I’m not actively looking, but I am open to new opportunities",Indian rupees (₹),660000,Monthly,123984,INR,PHP;HTML;CSS,Male,35 - 44 years old
63,Russian Federation,Employed full-time,Full-stack developer,24-26 years,"I’m not actively looking, but I am open to new opportunities",Russian rubles (₽),100000,Monthly,21228,RUB,SQL,Female,35 - 44 years old
66,United States,Employed full-time,Back-end developer;Embedded applications or devices developer,9-11 years,I am not interested in new job opportunities,U.S. dollars ($),74000,Yearly,74000,USD,Assembly;C;C++;C#;Python;Rust;Bash/Shell,Male,25 - 34 years old
